URL,image name,country,width,height,label
/content/drive/My Drive/CoinImages//United States/USD 1¢,1t.jpeg,United States,225,225,USD 1¢
/content/drive/My Drive/CoinImages//United States/USD 1¢,2t.jpeg,United States,225,225,USD 1¢
/content/drive/My Drive/CoinImages//United States/USD 1¢,3t.jpeg,United States,225,225,USD 1¢
/content/drive/My Drive/CoinImages//United States/USD 1¢,4t.jpeg,United States,225,225,USD 1¢
/content/drive/My Drive/CoinImages//United States/USD 1¢,5t.jpeg,United States,225,225,USD 1¢
/content/drive/My Drive/CoinImages//United States/USD 1¢,6t.jpeg,United States,262,193,USD 1¢
/content/drive/My Drive/CoinImages//United States/USD 1¢,7t.jpeg,United States,223,226,USD 1¢
/content/drive/My Drive/CoinImages//United States/USD 1¢,8t.jpeg,United States,225,225,USD 1¢
/content/drive/My Drive/CoinImages//United States/USD 1¢,9t.jpeg,United States,275,183,USD 1¢
/content/drive/My Drive/CoinImages//United States/USD 1¢,10t.jpeg,United States,194,259,USD 1¢
/content/drive/My Drive/CoinImages//United States/USD 1¢,11t.jpeg,United States,259,194,USD 1¢
/content/drive/My Drive/CoinImages//United States/USD 1¢,12t.jpeg,United States,265,190,USD 1¢
/content/drive/My Drive/CoinImages//United States/USD 1¢,13t.jpeg,United States,230,219,USD 1¢
/content/drive/My Drive/CoinImages//United States/USD 1¢,1h.jpeg,United States,225,225,USD 1¢
/content/drive/My Drive/CoinImages//United States/USD 1¢,2h.jpeg,United States,224,225,USD 1¢
/content/drive/My Drive/CoinImages//United States/USD 1¢,3h.jpeg,United States,225,224,USD 1¢
/content/drive/My Drive/CoinImages//United States/USD 1¢,4h.jpeg,United States,226,223,USD 1¢
/content/drive/My Drive/CoinImages//United States/USD 1¢,5h.jpeg,United States,225,225,USD 1¢
/content/drive/My Drive/CoinImages//United States/USD 1¢,6h.jpeg,United States,225,225,USD 1¢
/content/drive/My Drive/CoinImages//United States/USD 1¢,7h.jpeg,United States,222,227,USD 1¢
/content/drive/My Drive/CoinImages//United States/USD 1¢,8h.jpeg,United States,224,225,USD 1¢
/content/drive/My Drive/CoinImages//United States/USD 1¢,9h.jpeg,United States,225,224,USD 1¢
/content/drive/My Drive/CoinImages//United States/USD 1¢,10h.jpeg,United States,225,225,USD 1¢
/content/drive/My Drive/CoinImages//United States/USD 1¢,11h.jpeg,United States,225,225,USD 1¢
/content/drive/My Drive/CoinImages//United States/USD 1¢,14t.jpeg,United States,299,168,USD 1¢
/content/drive/My Drive/CoinImages//United States/USD 1¢,12h.jpeg,United States,226,223,USD 1¢
/content/drive/My Drive/CoinImages//United States/USD 1¢,13h.jpeg,United States,225,225,USD 1¢
/content/drive/My Drive/CoinImages//United States/USD 1¢,14h.jpeg,United States,224,225,USD 1¢
/content/drive/My Drive/CoinImages//United States/USD 1¢,15t.jpeg,United States,225,225,USD 1¢
/content/drive/My Drive/CoinImages//United States/USD 1¢,16t.jpg,United States,1024,1024,USD 1¢
/content/drive/My Drive/CoinImages//United States/USD 1¢,17t.jpeg,United States,223,226,USD 1¢
/content/drive/My Drive/CoinImages//United States/USD 1¢,18t.jpeg,United States,225,225,USD 1¢
/content/drive/My Drive/CoinImages//United States/USD 1¢,19t.jpeg,United States,225,225,USD 1¢
/content/drive/My Drive/CoinImages//United States/USD 1¢,20t.jpg,United States,1200,900,USD 1¢
/content/drive/My Drive/CoinImages//United States/USD 1¢,21t.jpg,United States,1200,903,USD 1¢
/content/drive/My Drive/CoinImages//United States/USD 1¢,22t.jpeg,United States,259,194,USD 1¢
/content/drive/My Drive/CoinImages//United States/USD 1¢,23t.jpeg,United States,259,194,USD 1¢
/content/drive/My Drive/CoinImages//United States/USD 1¢,24t.jpeg,United States,224,225,USD 1¢
/content/drive/My Drive/CoinImages//United States/USD 1¢,25t.jpeg,United States,194,259,USD 1¢
/content/drive/My Drive/CoinImages//United States/USD 1¢,15h.jpeg,United States,225,225,USD 1¢
/content/drive/My Drive/CoinImages//United States/USD 1¢,16h.jpeg,United States,225,225,USD 1¢
/content/drive/My Drive/CoinImages//United States/USD 1¢,17h.jpeg,United States,225,225,USD 1¢
/content/drive/My Drive/CoinImages//United States/USD 1¢,18h.jpeg,United States,225,225,USD 1¢
/content/drive/My Drive/CoinImages//United States/USD 1¢,19h.jpeg,United States,225,225,USD 1¢
/content/drive/My Drive/CoinImages//United States/USD 1¢,20h.jpeg,United States,225,225,USD 1¢
/content/drive/My Drive/CoinImages//United States/USD 1¢,21h.jpeg,United States,225,224,USD 1¢
/content/drive/My Drive/CoinImages//United States/USD 1¢,22h.jpeg,United States,221,228,USD 1¢
/content/drive/My Drive/CoinImages//United States/USD 1¢,23h.jpeg,United States,227,222,USD 1¢
/content/drive/My Drive/CoinImages//United States/USD 1¢,24h.jpeg,United States,257,196,USD 1¢
/content/drive/My Drive/CoinImages//United States/USD 1¢,25h.jpeg,United States,275,183,USD 1¢
/content/drive/My Drive/CoinImages//United States/USD 5¢,1h.jpeg,United States,225,225,USD 5¢
