URL,image name,label,width,height
/content/drive/My Drive/CoinImages/PreprocessedCoinImages/Australia/AUD 50 Cents,14t.jpg,AUD 50 Cents,224,224
/content/drive/My Drive/CoinImages/PreprocessedCoinImages/Australia/AUD 50 Cents,10t.jpg,AUD 50 Cents,224,224
/content/drive/My Drive/CoinImages/PreprocessedCoinImages/Australia/AUD 50 Cents,13t.jpg,AUD 50 Cents,224,224
/content/drive/My Drive/CoinImages/PreprocessedCoinImages/Australia/AUD 50 Cents,3h.jpg,AUD 50 Cents,224,224
/content/drive/My Drive/CoinImages/PreprocessedCoinImages/Australia/AUD 50 Cents,2h.jpg,AUD 50 Cents,224,224
/content/drive/My Drive/CoinImages/PreprocessedCoinImages/Australia/AUD 50 Cents,15t.jpg,AUD 50 Cents,224,224
/content/drive/My Drive/CoinImages/PreprocessedCoinImages/Australia/AUD 50 Cents,11t.jpg,AUD 50 Cents,224,224
/content/drive/My Drive/CoinImages/PreprocessedCoinImages/Australia/AUD 50 Cents,19t.jpg,AUD 50 Cents,224,224
/content/drive/My Drive/CoinImages/PreprocessedCoinImages/Australia/AUD 50 Cents,10h.jpg,AUD 50 Cents,224,224
/content/drive/My Drive/CoinImages/PreprocessedCoinImages/Australia/AUD 50 Cents,12t.jpg,AUD 50 Cents,224,224
/content/drive/My Drive/CoinImages/PreprocessedCoinImages/Australia/AUD 50 Cents,18t.jpg,AUD 50 Cents,224,224
/content/drive/My Drive/CoinImages/PreprocessedCoinImages/Australia/AUD 50 Cents,2t.jpg,AUD 50 Cents,224,224
/content/drive/My Drive/CoinImages/PreprocessedCoinImages/Australia/AUD 50 Cents,20t.jpg,AUD 50 Cents,224,224
/content/drive/My Drive/CoinImages/PreprocessedCoinImages/Australia/AUD 50 Cents,3t.jpg,AUD 50 Cents,224,224
/content/drive/My Drive/CoinImages/PreprocessedCoinImages/Australia/AUD 50 Cents,16t.jpg,AUD 50 Cents,224,224
/content/drive/My Drive/CoinImages/PreprocessedCoinImages/Australia/AUD 50 Cents,8t.jpg,AUD 50 Cents,224,224
/content/drive/My Drive/CoinImages/PreprocessedCoinImages/Australia/AUD 50 Cents,7t.jpg,AUD 50 Cents,224,224
/content/drive/My Drive/CoinImages/PreprocessedCoinImages/Australia/AUD 50 Cents,5h.jpg,AUD 50 Cents,224,224
/content/drive/My Drive/CoinImages/PreprocessedCoinImages/Australia/AUD 50 Cents,17t.jpg,AUD 50 Cents,224,224
