URL,image name,country,width,height,label
/content/drive/My Drive/CoinImages/PreprocessedCoinImages/Australia/AUD 50 Cents,14t.jpg,Australia,224,224,AUD 50 Cents
/content/drive/My Drive/CoinImages/PreprocessedCoinImages/Australia/AUD 50 Cents,10t.jpg,Australia,224,224,AUD 50 Cents
/content/drive/My Drive/CoinImages/PreprocessedCoinImages/Australia/AUD 50 Cents,13t.jpg,Australia,224,224,AUD 50 Cents
/content/drive/My Drive/CoinImages/PreprocessedCoinImages/Australia/AUD 50 Cents,3h.jpg,Australia,224,224,AUD 50 Cents
/content/drive/My Drive/CoinImages/PreprocessedCoinImages/Australia/AUD 50 Cents,2h.jpg,Australia,224,224,AUD 50 Cents
/content/drive/My Drive/CoinImages/PreprocessedCoinImages/Australia/AUD 50 Cents,15t.jpg,Australia,224,224,AUD 50 Cents
/content/drive/My Drive/CoinImages/PreprocessedCoinImages/Australia/AUD 50 Cents,11t.jpg,Australia,224,224,AUD 50 Cents
/content/drive/My Drive/CoinImages/PreprocessedCoinImages/Australia/AUD 50 Cents,19t.jpg,Australia,224,224,AUD 50 Cents
/content/drive/My Drive/CoinImages/PreprocessedCoinImages/Australia/AUD 50 Cents,10h.jpg,Australia,224,224,AUD 50 Cents
/content/drive/My Drive/CoinImages/PreprocessedCoinImages/Australia/AUD 50 Cents,12t.jpg,Australia,224,224,AUD 50 Cents
/content/drive/My Drive/CoinImages/PreprocessedCoinImages/Australia/AUD 50 Cents,18t.jpg,Australia,224,224,AUD 50 Cents
/content/drive/My Drive/CoinImages/PreprocessedCoinImages/Australia/AUD 50 Cents,2t.jpg,Australia,224,224,AUD 50 Cents
/content/drive/My Drive/CoinImages/PreprocessedCoinImages/Australia/AUD 50 Cents,20t.jpg,Australia,224,224,AUD 50 Cents
/content/drive/My Drive/CoinImages/PreprocessedCoinImages/Australia/AUD 50 Cents,3t.jpg,Australia,224,224,AUD 50 Cents
/content/drive/My Drive/CoinImages/PreprocessedCoinImages/Australia/AUD 50 Cents,16t.jpg,Australia,224,224,AUD 50 Cents
/content/drive/My Drive/CoinImages/PreprocessedCoinImages/Australia/AUD 50 Cents,8t.jpg,Australia,224,224,AUD 50 Cents
/content/drive/My Drive/CoinImages/PreprocessedCoinImages/Australia/AUD 50 Cents,7t.jpg,Australia,224,224,AUD 50 Cents
/content/drive/My Drive/CoinImages/PreprocessedCoinImages/Australia/AUD 50 Cents,5h.jpg,Australia,224,224,AUD 50 Cents
/content/drive/My Drive/CoinImages/PreprocessedCoinImages/Australia/AUD 50 Cents,17t.jpg,Australia,224,224,AUD 50 Cents
/content/drive/My Drive/CoinImages/PreprocessedCoinImages/Australia/AUD 50 Cents,6t.jpg,Australia,224,224,AUD 50 Cents
/content/drive/My Drive/CoinImages/PreprocessedCoinImages/Australia/AUD 50 Cents,11h.jpg,Australia,224,224,AUD 50 Cents
/content/drive/My Drive/CoinImages/PreprocessedCoinImages/Australia/AUD 50 Cents,7h.jpg,Australia,224,224,AUD 50 Cents
/content/drive/My Drive/CoinImages/PreprocessedCoinImages/Australia/AUD 50 Cents,8h.jpg,Australia,224,224,AUD 50 Cents
/content/drive/My Drive/CoinImages/PreprocessedCoinImages/Australia/AUD 50 Cents,4t.jpg,Australia,224,224,AUD 50 Cents
/content/drive/My Drive/CoinImages/PreprocessedCoinImages/Australia/AUD 50 Cents,4h.jpg,Australia,224,224,AUD 50 Cents
/content/drive/My Drive/CoinImages/PreprocessedCoinImages/Australia/AUD 50 Cents,6h.jpg,Australia,224,224,AUD 50 Cents
/content/drive/My Drive/CoinImages/PreprocessedCoinImages/Australia/AUD 50 Cents,5t.jpg,Australia,224,224,AUD 50 Cents
/content/drive/My Drive/CoinImages/PreprocessedCoinImages/Australia/AUD 50 Cents,9t.jpg,Australia,224,224,AUD 50 Cents
/content/drive/My Drive/CoinImages/PreprocessedCoinImages/Australia/AUD 50 Cents,9h.jpg,Australia,224,224,AUD 50 Cents
/content/drive/My Drive/CoinImages/PreprocessedCoinImages/Australia/AUD 50 Cents,21t.jpg,Australia,224,224,AUD 50 Cents
/content/drive/My Drive/CoinImages/PreprocessedCoinImages/Australia/AUD 50 Cents,22t.jpg,Australia,224,224,AUD 50 Cents
/content/drive/My Drive/CoinImages/PreprocessedCoinImages/Australia/AUD 50 Cents,23t.jpg,Australia,224,224,AUD 50 Cents
/content/drive/My Drive/CoinImages/PreprocessedCoinImages/Australia/AUD 50 Cents,24t.jpg,Australia,224,224,AUD 50 Cents
/content/drive/My Drive/CoinImages/PreprocessedCoinImages/Australia/AUD 50 Cents,25t.jpg,Australia,224,224,AUD 50 Cents
/content/drive/My Drive/CoinImages/PreprocessedCoinImages/Australia/AUD 50 Cents,12h.jpg,Australia,224,224,AUD 50 Cents
/content/drive/My Drive/CoinImages/PreprocessedCoinImages/Australia/AUD 50 Cents,13h.jpg,Australia,224,224,AUD 50 Cents
/content/drive/My Drive/CoinImages/PreprocessedCoinImages/Australia/AUD 50 Cents,14h.jpg,Australia,224,224,AUD 50 Cents
/content/drive/My Drive/CoinImages/PreprocessedCoinImages/Australia/AUD 50 Cents,15h.jpg,Australia,224,224,AUD 50 Cents
/content/drive/My Drive/CoinImages/PreprocessedCoinImages/Australia/AUD 50 Cents,16h.jpg,Australia,224,224,AUD 50 Cents
